"date","monthly_return"
1984-01-31,-0.38404636052658
1984-02-29,-3.88593474157545
1984-03-30,1.34979953529963
1984-04-30,0.546557617795984
1984-05-31,-5.93564499772476
1984-06-29,1.74692100346174
1984-07-31,-1.6451162907454
1984-08-31,10.6332063084244
1984-09-28,-0.347964121521049
1984-10-31,-0.00602634874002916
1984-11-30,-1.51122557780641
1984-12-31,2.23743955320983
1985-01-31,7.40851410110417
1985-02-28,0.862877999686051
1985-03-29,-0.287001343797599
1985-04-30,-0.459427551328428
1985-05-31,5.405105444994
1985-06-28,1.21340174873528
1985-07-31,-0.48475783423666
1985-08-30,-1.19945176413966
1985-09-30,-3.47240782601211
1985-10-31,4.25088170876982
1985-11-29,6.50615865988899
1985-12-31,4.50610906309585
1986-01-31,0.236652784404034
1986-02-28,7.14892788597394
1986-03-31,5.27939177869188
1986-04-30,-1.414813608362
1986-05-30,5.02292867546366
1986-06-30,1.41095215211535
1986-07-31,-5.86828314288235
1986-08-29,7.11926050576566
1986-09-30,-8.54386034765885
1986-10-31,5.47293273494327
1986-11-28,2.14771931507687
1986-12-31,-2.82882714759097
1987-01-30,13.1766893688701
1987-02-27,3.69236213170103
1987-03-31,2.63898651578398
1987-04-30,-1.14502115724912
1987-05-29,0.603419628362012
1987-06-30,4.79144901897193
1987-07-31,4.82236962569387
1987-08-31,3.49588401519998
1987-09-30,-2.41661659057012
1987-10-30,-21.763041421998
1987-11-30,-8.53488653536516
1987-12-31,7.28614787535444
1988-01-29,4.04322705970954
1988-02-29,4.18174026285456
1988-03-31,-3.33432620101856
1988-04-29,0.942474327231779
1988-05-31,0.317612647798549
1988-06-30,4.32560122806012
1988-07-29,-0.541137472149222
1988-08-31,-3.86001044925867
1988-09-30,3.97293326893431
1988-10-31,2.59644642106176
1988-11-30,-1.88908807062111
1988-12-30,1.46875733810019
1989-01-31,7.11147915641293
1989-02-28,-2.89441484311306
1989-03-31,2.08059616090834
1989-04-28,5.00899371785186
1989-05-31,3.51374946729266
1989-06-30,-0.792455420693094
1989-07-31,8.83702579252559
1989-08-31,1.55167182244567
1989-09-29,-0.654436827616889
1989-10-31,-2.51754509482476
1989-11-30,1.65413242599515
1989-12-29,2.14168151428018
1990-01-31,-6.88172262146173
1990-02-28,0.853904275808892
1990-03-30,2.42549864041433
1990-04-30,-2.68871406212716
1990-05-31,9.19891907988946
1990-06-29,-0.88863656812217
1990-07-31,-0.522315841173915
1990-08-31,-9.43141847916291
1990-09-28,-5.11843064564319
1990-10-31,-0.669821230104239
1990-11-30,5.99342145417865
1990-12-31,2.48277573387521
1991-01-31,4.15177499981747
1991-02-28,6.72811768127803
1991-03-28,2.2202832522042
1991-04-30,0.0319799362499706
1991-05-31,3.86049724936075
1991-06-28,-4.78926289747986
1991-07-31,4.48593429577664
1991-08-30,1.96487846243216
1991-09-30,-1.91437358430864
1991-10-31,1.18342366545192
1991-11-29,-4.3903708626307
1991-12-31,11.1587855074281
1992-01-31,-1.99237517839236
1992-02-28,0.958954312696414
1992-03-31,-2.18318621253278
1992-04-30,2.78927139575604
1992-05-29,0.096395682544248
1992-06-30,-1.73588331506638
1992-07-31,3.93736860633058
1992-08-31,-2.39975316018912
1992-09-30,0.910559385741871
1992-10-30,0.210628269153657
1992-11-30,3.0261807703684
1992-12-31,1.01077669870628
1993-01-29,0.704598789200661
1993-02-26,1.04836275954077
1993-03-31,1.86972990518888
1993-04-30,-2.54168101601566
1993-05-28,2.27174627877449
1993-06-30,0.0755228539165209
1993-07-30,-0.532704570835929
1993-08-31,3.44319561458872
1993-09-30,-0.998793016480515
1993-10-29,1.93929227518845
1993-11-30,-1.29106260836291
1993-12-31,1.00911747241843
1994-01-31,3.25007455199777
1994-02-28,-3.00449972866785
1994-03-31,-4.57465106063508
1994-04-29,1.15306431009645
1994-05-31,1.23971442028141
1994-06-30,-2.67908236283201
1994-07-29,3.14899072589001
1994-08-31,3.75986996499262
1994-09-30,-2.68775348414747
1994-10-31,2.08338156220111
1994-11-30,-3.95046118788872
1994-12-30,1.2299117331743
1995-01-31,2.4277711761677
1995-02-28,3.60741480725926
1995-03-31,2.73291951133807
1995-04-28,2.79603578049115
1995-05-31,3.63117126994648
1995-06-30,2.12785434316494
1995-07-31,3.17760395752065
1995-08-31,-0.032023747742782
1995-09-29,4.00974728873253
1995-10-31,-0.497933518977023
1995-11-30,4.10490027810619
1995-12-29,1.74438734059648
1996-01-31,3.26173868692312
1996-02-29,0.693370178470398
1996-03-29,0.79165675908397
1996-04-30,1.34314220141847
1996-05-31,2.28534059917032
1996-06-28,0.225670997226812
1996-07-31,-4.57480167192077
1996-08-30,1.88139351475607
1996-09-30,5.42033273283304
1996-10-31,2.6101002422918
1996-11-29,7.33761517814058
1996-12-31,-2.1505414489508
1997-01-31,6.13170390541289
1997-02-28,0.592759023465406
1997-03-31,-4.26140106407488
1997-04-30,5.84055790673403
1997-05-30,5.8576884803325
1997-06-30,4.34526147952758
1997-07-31,7.81458094374248
1997-08-29,-5.74656317085284
1997-09-30,5.31535906155671
1997-10-31,-3.44776973752203
1997-11-28,4.45868552126394
1997-12-31,1.57315971086944
1998-01-30,1.0150177442408
1998-02-27,7.04491925363124
1998-03-31,4.99457143412205
1998-04-30,0.90764692534604
1998-05-29,-1.88262232614684
1998-06-30,3.94382406350404
1998-07-31,-1.16153269173854
1998-08-31,-14.5796718250114
1998-09-30,6.2395515043411
1998-10-30,8.02942285676289
1998-11-30,5.91259962856814
1998-12-31,5.63752870849561
1999-01-29,4.10094408537485
